"DayOfWeek";"Date";"Time";"Number";"LineNumber";"Delay";"Station";"Direction";"Shift";"Driver";"Latitude";"Longitude";"Orientation"
Thursday;11.04.2019;23:58:53;684;34;00:00:02;"Lešná ZOO";"Divadlo";"2/31";1087;49.271120;17.714510;315
Thursday;11.04.2019;23:59:53;217;2;00:00:00;"Baťova nemocnice";"Otrokovice, žel.st.";"99/2";1772;49.227740;17.693010;22
Thursday;11.04.2019;23:59:53;218;8;00:02:00;"Zálešná V.";"Jižní Svahy,Kocanda";"99/8";1492;49.230080;17.691430;112
Thursday;11.04.2019;23:59:53;222;8;00:04:59;"Vozovna-výjezd (sever)";"Vozovna-výjezd (sever)";"1/3";1304;49.226980;17.693910;22
Thursday;11.04.2019;23:59:53;226;9;00:01:31;"Budovatelská";"Jižní Svahy,Středová";"1/11";2125;49.235360;17.670340;67
Thursday;11.04.2019;23:59:53;659;70;00:00:01;"Malenovice,křiž.";"Baťova nemocnice";"99/70";2133;49.209600;17.596970;90
Thursday;11.04.2019;23:59:53;674;70;00:00:06;"Společenský dům";"Baťova nemocnice";"11/55";1768;49.219040;17.514620;337
Thursday;11.04.2019;23:59:53;684;34;00:00:10;"Lešná ZOO";"Divadlo";"2/31";1087;49.267470;17.706660;247
Thursday;11.04.2019;23:59:53;217;2;00:00:00;"Baťova nemocnice";"Otrokovice, žel.st.";"99/2";1772;49.227740;17.693010;22
Thursday;11.04.2019;23:59:53;218;8;00:02:00;"Zálešná V.";"Jižní Svahy,Kocanda";"99/8";1492;49.230080;17.691430;112
Thursday;11.04.2019;23:59:53;222;8;00:04:59;"Vozovna-výjezd (sever)";"Vozovna-výjezd (sever)";"1/3";1304;49.226980;17.693910;22
Thursday;11.04.2019;23:59:53;226;9;00:01:31;"Budovatelská";"Jižní Svahy,Středová";"1/11";2125;49.235360;17.670340;67
Thursday;11.04.2019;23:59:53;659;70;00:00:01;"Malenovice,křiž.";"Baťova nemocnice";"99/70";2133;49.209600;17.596970;90
Thursday;11.04.2019;23:59:53;674;70;00:00:06;"Společenský dům";"Baťova nemocnice";"11/55";1768;49.219040;17.514620;337
Thursday;11.04.2019;23:59:53;684;34;00:00:10;"Lešná ZOO";"Divadlo";"2/31";1087;49.267470;17.706660;247
Friday;12.04.2019;0:00:53;217;2;00:00:00;"Baťova nemocnice";"Otrokovice, žel.st.";"99/2";1772;49.227740;17.693010;22
Friday;12.04.2019;0:00:53;218;8;00:00:00;"Baťova nemocnice";"Jižní Svahy,Kocanda";"99/8";1492;49.228950;17.693340;180
Friday;12.04.2019;0:00:53;222;8;00:04:59;"Vozovna-výjezd (sever)";"Vozovna-výjezd (sever)";"1/3";1304;49.226960;17.693910;22
Friday;12.04.2019;0:00:53;226;9;00:01:37;"Jižní Svahy,Středová";"Baťova nemocnice";"1/11";2125;49.236910;17.673360;270
Friday;12.04.2019;0:00:53;659;70;00:00:01;"Malenovice,křiž.";"Baťova nemocnice";"99/70";2133;49.210230;17.606010;67
Friday;12.04.2019;0:00:53;674;70;00:00:17;"Otrokovice,Štěrkoviště";"Baťova nemocnice";"11/55";1768;49.223600;17.513300;315
Friday;12.04.2019;0:00:53;684;34;00:00:21;"Kostelec,střed";"Divadlo";"2/31";1087;49.264630;17.701990;180
Friday;12.04.2019;0:00:53;217;2;00:00:00;"Baťova nemocnice";"Otrokovice, žel.st.";"99/2";1772;49.227740;17.693010;22
Friday;12.04.2019;0:00:53;218;8;00:00:00;"Baťova nemocnice";"Jižní Svahy,Kocanda";"99/8";1492;49.228950;17.693340;180
Friday;12.04.2019;0:00:53;222;8;00:04:59;"Vozovna-výjezd (sever)";"Vozovna-výjezd (sever)";"1/3";1304;49.226960;17.693910;22
Friday;12.04.2019;0:00:53;226;9;00:01:37;"Jižní Svahy,Středová";"Baťova nemocnice";"1/11";2125;49.236910;17.673360;270
Friday;12.04.2019;0:00:53;659;70;00:00:01;"Malenovice,křiž.";"Baťova nemocnice";"99/70";2133;49.210230;17.606010;67
Friday;12.04.2019;0:00:53;674;70;00:00:17;"Otrokovice,Štěrkoviště";"Baťova nemocnice";"11/55";1768;49.223600;17.513300;315
Friday;12.04.2019;0:00:53;684;34;00:00:21;"Kostelec,střed";"Divadlo";"2/31";1087;49.264630;17.701990;180
Friday;12.04.2019;0:01:53;217;2;00:00:00;"Baťova nemocnice";"Otrokovice, žel.st.";"99/2";1772;49.228370;17.693250;22
Friday;14.04.2019;0:01:53;218;8;00:00:17;"Podvesná XVII.";"Jižní Svahy,Kocanda";"99/8";1492;49.226210;17.692210;202
Sunday;14.04.2019;3:54:53;411;2;00:00:05;"Otrokovice, žel.st.";"Baťova nemocnice";"99/8";1772;49.150000;17.470000;0
Sunday;14.04.2019;3:54:53;412;2;00:00:26;"Baťova nemocnice";"Vozovna-výjezd (sever)";"99/2";2193;49.228430;17.693250;202
Sunday;14.04.2019;3:54:53;457;1;00:00:00;"Vozovna-výjezd (sever)";"Podvesná XVII.";"1/6";1104;49.227990;17.693190;270
Sunday;14.04.2019;3:54:53;678;70;00:00:19;"Sklady";"Otrokovice, žel.st.";"1/55";1620;49.205300;17.570810;270
Sunday;14.04.2019;3:54:53;726;33;00:00:00;"Vozovna-výjezd (sever)";"Paseky";"1/33";2062;49.227220;17.694590;67
Sunday;14.04.2019;3:54:53;824;70;00:00:08;"Divadlo";"Baťova nemocnice";"99/70";2172;49.225560;17.670900;90
Sunday;14.04.2019;3:55:53;411;2;00:00:37;"Dr.E.Beneše";"Baťova nemocnice";"99/8";1772;49.150000;17.470000;0
Sunday;14.04.2019;3:55:53;412;2;00:00:26;"Baťova nemocnice";"Vozovna-výjezd (sever)";"99/2";2193;49.227300;17.693590;202
